class,Count,Avg_Width,Avg_Height,Avg_Area,Min_Area,Max_Area,Avg_Aspect_Ratio
Dummy holes,304,111.30606168913336,78.3110383755646,23364.507576368258,122.7262765724309,528750.0000000001,1.4381032604935327
Tower Bolt missing,214,49.31363542480113,42.48114858627933,4776.172184279154,72.94559941643648,167429.32281393817,1.2399113068351981
Bushes or creepers,159,863.3590699584817,896.6666312767919,973989.1076597156,9584.845405719254,5041951.530612244,1.1524929834285988
Grading Ring Reverse,143,198.17331793154224,138.92714704961327,53765.40409510412,2455.006096128662,778443.8775510202,1.425665711890428
ACD not present,142,869.3680344934146,310.819292640664,308423.22646102146,3889.422657000593,2066007.653061224,3.8733271779402085
Excess Soil or Â Coping damaged,65,532.7824251148782,485.02095915588063,415017.84137949016,4313.609467455636,2820663.3239233205,1.174715774130237
CC ring broken,47,641.6638454461649,436.0500880295474,533949.8775513063,18225.0,5691664.6848989315,1.4939324452942127
Cotter pin missing,21,35.79033580528064,34.376064926579744,1585.4949506522541,215.18136149677602,8115.663196016311,1.0965370281033147
Cottor Nut or Hardware assembly Â Loose,14,67.00929620422835,36.42261003657073,2914.10208521827,550.6245890861313,11565.73082218952,2.0474368922718407
Tree in ROW,14,1512.4136419215154,1402.975779975833,2357452.2448917516,332000.71199715213,6347908.163265305,1.1708822249622728
LT pole,10,577.8485223384679,1203.1474450583057,676641.0798359285,84653.83510485482,1264158.163265306,0.6277853658291561
CC ring or arcing horn nut Â or bolt missing,9,257.27598030132447,130.398200382647,50639.80087496166,546.7873738182998,202406.55037379853,2.0820875242410244
Bird nest Present,9,132.13642023498406,101.77395747757197,14152.222575173164,5067.296907546867,26187.099613673043,1.3323965914462748
Grading ring missing,7,178.4942013673975,144.9891702979061,38817.54799612827,1050.0726738008784,134953.70370370374,1.5082185159662467
ROW encroachment,5,546.7174724493424,633.8041237113403,357592.48106318846,24104.58072058669,927500.0,0.9786555076850023
Tower Member bent,5,647.4289679194853,343.88189733809907,146799.65313000054,2624.599908550522,286071.4285714286,4.172307912910179
Tower Bolt Loose,5,143.444056528374,77.65728245572015,22050.297099318766,231.95266272189735,81414.93055555562,1.9120733182480047
Stone and other,4,958.387309292649,635.9944521497919,1016773.9737785207,18912.244320859612,2162832.0,1.4718890002373108
Rusting of members,4,122.85353535353545,76.44751082251084,14809.678563229705,328.2828282828344,38169.64285714286,1.510976809291419
Foreign material on tower,3,819.1718426501035,701.2318840579709,700826.80484292,65426.843100189035,1075982.1428571427,1.1897755462394255
Nut bolt loose,2,119.70851475568463,106.96057087566521,18441.394538991208,1445.5767176931345,35437.21236028928,1.1595890410958916
Grading ring fitted in wrong place,2,404.139254385965,243.43475877192992,131084.1729847165,17551.54079861113,244616.8051708219,1.7314399961458786
Earthing open,1,275.4716981132076,186.79245283018872,51456.034175863315,51456.034175863315,51456.034175863315,1.4747474747474747
Grading ring broken,1,1960.7142857142853,850.0,1666607.1428571425,1666607.1428571425,1666607.1428571425,2.3067226890756296
Arcing Horn missing,1,260.41666666666674,314.5833333333335,81922.74305555562,81922.74305555562,81922.74305555562,0.8278145695364236
Arching Horn not in position,1,163.5761589403976,78.14569536423824,12782.772685408525,12782.772685408525,12782.772685408525,2.0932203389830586
Cotterpin present,1,30.976430976430947,50.50505050505035,1564.466210930851,1564.466210930851,1564.466210930851,0.6133333333333346
